y_norm,vy_norm,dist_norm,delta_gap_norm,action
0.48366666,0.11666667,0.525,-0.31366667,0
0.48658332,0.14583333,0.5175,-0.31658334,0
0.49008334,0.175,0.51,-0.32008332,0
0.49416667,0.20416667,0.5025,-0.32416666,0
0.49883333,0.23333333,0.495,-0.32883334,1
0.48775,-0.5541667,0.4875,-0.31775,0
0.47725,-0.525,0.48,-0.30725,0
0.46733335,-0.49583334,0.4725,-0.29733333,0
0.458,-0.46666667,0.465,-0.288,0
0.44925,-0.4375,0.4575,-0.27925,0
0.44108334,-0.40833333,0.45,-0.27108333,0
0.4335,-0.37916666,0.4425,-0.2635,0
0.4265,-0.35,0.435,-0.2565,0
0.42008334,-0.32083333,0.4275,-0.25008333,0
0.41425,-0.29166666,0.42,-0.24425,0
0.409,-0.2625,0.4125,-0.239,0
0.40433332,-0.23333333,0.405,-0.23433334,0
0.40025,-0.20416667,0.3975,-0.23025,0
0.39675,-0.175,0.39,-0.22675,0
0.39383334,-0.14583333,0.3825,-0.22383334,0
0.3915,-0.11666667,0.375,-0.2215,0
0.38975,-0.0875,0.3675,-0.21975,0
0.38858333,-0.058333334,0.36,-0.21858333,0
0.388,-0.029166667,0.3525,-0.218,0
0.388,-1.7578532e-16,0.345,-0.218,0
0.38858333,0.029166667,0.3375,-0.21858333,0
0.38975,0.058333334,0.33,-0.21975,0
0.3915,0.0875,0.3225,-0.2215,0
0.39383334,0.11666667,0.315,-0.22383334,1
0.38275,-0.5541667,0.3075,-0.21275,0
0.37225,-0.525,0.3,-0.20225,0
0.36233333,-0.49583334,0.2925,-0.19233334,0
0.353,-0.46666667,0.285,-0.183,0
0.34425,-0.4375,0.2775,-0.17425,0
0.33608332,-0.40833333,0.27,-0.16608334,0
0.3285,-0.37916666,0.2625,-0.1585,0
0.3215,-0.35,0.255,-0.1515,0
0.31508332,-0.32083333,0.2475,-0.14508334,0
0.30925,-0.29166666,0.24,-0.13925,0
0.304,-0.2625,0.2325,-0.134,0
0.29933333,-0.23333333,0.225,-0.12933333,0
0.29525,-0.20416667,0.2175,-0.12525,0
0.29175,-0.175,0.21,-0.12175,0
0.28883332,-0.14583333,0.2025,-0.11883333,0
0.2865,-0.11666667,0.195,-0.1165,0
0.28475,-0.0875,0.1875,-0.11475,0
0.28358334,-0.058333334,0.18,-0.113583334,0
0.283,-0.029166667,0.1725,-0.113,0
0.283,-1.7578532e-16,0.165,-0.113,0
0.28358334,0.029166667,0.1575,-0.113583334,0
0.28475,0.058333334,0.15,-0.11475,0
0.2865,0.0875,0.1425,-0.1165,0
0.28883332,0.11666667,0.135,-0.11883333,1
0.27775,-0.5541667,0.1275,-0.10775,0
0.26725,-0.525,0.12,-0.09725,0
0.25733334,-0.49583334,0.1125,-0.08733334,0
0.248,-0.46666667,0.105,-0.078,0
0.23925,-0.4375,0.0975,-0.06925,0
0.23108333,-0.40833333,0.09,-0.06108333,0
0.2235,-0.37916666,0.0825,-0.0535,0
0.2165,-0.35,0.075,-0.0465,0
0.21008334,-0.32083333,0.0675,-0.040083334,0
0.20425,-0.29166666,0.06,-0.03425,0
0.199,-0.2625,0.0525,-0.029,1
0.18791667,-0.5541667,0.045,-0.017916666,1
0.17683333,-0.5541667,0.0375,-0.0068333335,1
0.16575,-0.5541667,0.03,0.00425,1
0.15466666,-0.5541667,0.0225,0.015333333,1
0.14358333,-0.5541667,0.015,0.026416667,1
0.1325,-0.5541667,0.0075,0.0375,1
0.121416666,-0.5541667,0.0,0.048583332,1
0.11033333,-0.5541667,0.5425,0.6713333,1
0.09925,-0.5541667,0.535,0.6824167,1
0.08816667,-0.5541667,0.5275,0.6935,1
0.077083334,-0.5541667,0.52,0.70458335,1
0.066,-0.5541667,0.5125,0.71566665,1
0.054916665,-0.5541667,0.505,0.72675,1
0.043833334,-0.5541667,0.4975,0.7378333,1
0.03275,-0.5541667,0.49,0.7489167,1
0.021666666,-0.5541667,0.4825,0.76,1
0.010583334,-0.5541667,0.475,0.77108335,1
0.5,0.0,1.0,-0.11666667,0
0.50058335,0.029166667,1.0,-0.11725,0
0.50175,0.058333334,1.0,-0.11841667,0
