y_norm,vy_norm,dist_norm,delta_gap_norm,action
0.5455,0.35,1.0,-0.16216667,0
0.55308336,0.37916666,1.0,-0.16975,0
0.56125,0.40833333,1.0,-0.17791666,0
0.57,0.4375,1.0,-0.18666667,0
0.5793333,0.46666667,1.0,-0.196,0
0.58925,0.49583334,0.9975,-0.20591667,0
0.59975,0.525,0.99,-0.21641667,1
0.5886667,-0.5541667,0.9825,-0.20533334,0
0.57816666,-0.525,0.975,-0.19483334,0
0.56825,-0.49583334,0.9675,-0.18491666,0
0.5589167,-0.46666667,0.96,-0.17558333,0
0.55016667,-0.4375,0.9525,-0.16683333,0
0.542,-0.40833333,0.945,-0.15866667,0
0.5344167,-0.37916666,0.9375,-0.15108334,0
0.52741665,-0.35,0.93,-0.14408334,0
0.521,-0.32083333,0.9225,-0.13766667,0
0.51516664,-0.29166666,0.915,-0.13183333,0
0.50991666,-0.2625,0.9075,-0.12658334,0
0.50525,-0.23333333,0.9,-0.12191667,0
0.50116664,-0.20416667,0.8925,-0.11783333,0
0.49766666,-0.175,0.885,-0.11433333,0
0.49475,-0.14583333,0.8775,-0.11141667,0
0.49241668,-0.11666667,0.87,-0.10908333,0
0.49066666,-0.0875,0.8625,-0.10733333,0
0.4895,-0.058333334,0.855,-0.10616667,0
0.48891667,-0.029166667,0.8475,-0.10558333,0
0.48891667,-1.7578532e-16,0.84,-0.10558333,0
0.4895,0.029166667,0.8325,-0.10616667,0
0.49066666,0.058333334,0.825,-0.10733333,0
0.49241668,0.0875,0.8175,-0.10908333,0
0.49475,0.11666667,0.81,-0.11141667,0
0.49766666,0.14583333,0.8025,-0.11433333,0
0.50116664,0.175,0.795,-0.11783333,0
0.50525,0.20416667,0.7875,-0.12191667,0
0.50991666,0.23333333,0.78,-0.12658334,0
0.51516664,0.2625,0.7725,-0.13183333,0
0.521,0.29166666,0.765,-0.13766667,0
0.52741665,0.32083333,0.7575,-0.14408334,0
0.5344167,0.35,0.75,-0.15108334,0
0.542,0.37916666,0.7425,-0.15866667,0
0.55016667,0.40833333,0.735,-0.16683333,0
0.5589167,0.4375,0.7275,-0.17558333,0
0.56825,0.46666667,0.72,-0.18491666,0
0.57816666,0.49583334,0.7125,-0.19483334,0
0.5886667,0.525,0.705,-0.20533334,1
0.5775833,-0.5541667,0.6975,-0.19425,0
0.56708336,-0.525,0.69,-0.18375,0
0.5571667,-0.49583334,0.6825,-0.17383334,0
0.5478333,-0.46666667,0.675,-0.1645,0
0.53908336,-0.4375,0.6675,-0.15575,0
0.5309167,-0.40833333,0.66,-0.14758334,0
